Id,Input,Prompt,"Rating:
-1: Errors in the generation or in the input
0: Prompt doesn't describe the current step
1: Prompt describes the current step, but some context is missing in the input/output
2: Prompt is a poor description of the current step, and is in accordance with the context
3: Prompt is a good description of the current step, and is in accordance with the context
4: Prompt is a very good description of the current step, and is in accordance with the context","Note (optional)
A: copy problem
B: step has too many actions
C: good prompt DESPITE step with too many actions
D: prompt has hallucinations"
17,"Step 1: Combine the Aperol, orange juice, and grapefruit juice in a shaker with ice.
Step 2: Juice orange and grapefruit
Step 3: Shake thoroughly, then strain into rocks glasses filled with ice. Top glasses with Prosecco.
",a woman is pouring a drink into a glass that is sitting on a table,1,
141,"Step 1: In a large saucepan, heat fish broth on medium heat. Add clams and cook on low heat for approx. 1 – 2 min. Remove from broth with a slotted spoon, reserve fish stock, and separate clams from shell. Set aside.
Step 2: Chop parsley and dill. Dice potatoes, bacon, and celery into small cubes and set aside. Wash clams thoroughly.
Step 3: In another large saucepan, melt butter and fry bacon on medium-high heat until browned, approx. 2 – 3 min. Add flour, stir to combine, and cook for approx. 1 min. Add cream, potatoes, celery, and fish stock and cook until warmed through. Add milk and cook for approx. 5 more min.
",A person is stirring a pot of soup with a wooden spoon,1,
5,"Step 1: Core and chop the Apple. Put half of the organic apples in a food processor with the Dates, Ground Flaxseed, Salt, Ground Cinnamon, and Vanilla Powder. Process until well blended.
","Core and chop the apple. Put half of the organic apples in a food processor with the dates, ground flaxseed, salt, ground cinnamon, and vanilla powder. Process until well blended",3,A
58,"Step 1: Stir herb mixture into Greek yogurt. Season again with lemon juice and salt and pepper to taste.
Step 2: In a food processor, finely puree arugula, basil, almonds, Parmesan cheese, salt, and pepper.
Step 3: In a large bowl, combine cooked pasta with yogurt-pesto. If the pasta seems too dry, add some of the previously saved pasta water. Serve with shavings of Parmesan cheese.
","In a large bowl, a person is adding cooked pasta to a bowl of yogurt-pesto",4,
74,"Step 1: Thinly slice the leek. Finely chop the chili pepper. Quarter the tomatoes, and dice the pancetta. Set everything aside.
Step 2: Bring a pot of water to a boil over medium-high heat. Salt generously and cook tagliatelle until al dente. Drain, reserving some pasta water.
",a woman is cooking pasta in a pot on a stove,4,
76,"Step 1: In a jam jar, add Lime Juice, Fresh Cilantro, Red Chili Pepper, and Soy Sauce. Put a lid on and shake to combine. Set aside.
Step 2: In a large mixing bowl, add Salad Greens, Chicken Breast and Mango. Drizzle dressing over top. Gently toss everything together to combine and season with Freshly Ground Black Pepper.
","a person is adding salad greens, chicken breast, and mango to a large mixing bowl",4,
83,"Step 1: Cut corn tortillas into rounds to fit muffin tin cups, if necessary. Place rounds into muffin tin, so that tortillas form cups. Add beef-bean mixture to the taco cups and crumble feta cheese over it. Bake at 180°C/370°F for approx. 10 – 12 min.
Step 2: Preheat the oven to 180°C/370°F. Peel and dice onion. Drain and rinse canned beans. In a frying pan, heat olive oil and sauté diced onion. Add ground beef and fry for approx. 1 – 2 min. Add chili powder, paprika powder, ground cumin, Cayenne pepper, dried oregano, and sugar and season with pepper and salt. Mix well and fry for another 2 – 3 min. Stir in pinto beans, black beans, and tomato paste, then remove frying pan from heat.
Step 3: Meanwhile, juice limes. In a large bowl, whisk together lime juice, olive oil, and chili sauce. Season with salt.
","A person is whisking together lime juice, olive oil, and chili sauce in a large bowl",4,
138,"Step 1: Heat a frying pan or panini press over medium heat. Spread Vegan Butter with a thin layer on one side of each Bread.
",a person is spreading vegan butter on two slices of bread with a knife,4,
119,"Step 1: Add frozen raspberries on top, or other berries of choice, but it’s best to use frozen ones as they help the rolled oats to soak in.
Step 2: Top with mixed seeds, e.g. sunflower seeds, shredded flax seeds, rolled oats, and puffed amaranth.
Step 3: To finish, add rolled oats and pour vanilla soy drink on top. Refrigerate for at least 3 hrs., but at best over night. Serve with sliced banana on top.
",a bowl of rolled oats with a vanilla soy drink poured on top,1,
158,"Step 1: Rinse quinoa in warm water and cook in vegetable stock, according to the package instructions, and set aside.
",the quinoa is being cooked in a pot on the stove,3,
169,"Step 1: Season Medium Shrimp with Kosher Salt, Cayenne Pepper and Lime Juice to taste, grill on both sides on high heat until just cooked through.
Step 2: Combine Fresh Strawberry, Watermelon, and Kiwifruit with Honey and Lime Juice, macerate for one hour in the fridge.
Step 3: Plate the fruit, top with the brochettes, sprinkle with Pomegranate Seeds and Fresh Basil Leaf.
","a plate of fruit topped with brochettes, sprinkled with pomegranate seeds and fresh basil leaf",1,
172,"Step 1: Dice chicken breasts into large pieces. Mince garlic and cilantro, cut bell peppers into strips, and finely chop scallions.
Step 2: Heat half of the vegetable oil in a large skillet over high heat. Add chicken pieces and sauté for approx. 5 – 7 min. until golden. Transfer to a plate and set aside.
",a person is cooking chicken in a skillet on a stove top,4,
113,"Step 1: Heat some vegetable oil in a frying pan over medium heat. Add chicken and mushrooms and sauté until mushrooms are soft and chicken is cooked, approx. 6 – 8 min. Remove from heat and allow to cool slightly.
Step 2: In a medium bowl, whisk together yogurt, mayonnaise and Worcestershire sauce. Set aside.
Step 3: Add mango, chicken, and mushrooms to the mayonnaise yogurt mixture. Add chopped chives and parsley and stir to combine. Season with salt and pepper to taste.
","a bowl of chicken, mango, mushrooms, and yogurt mixture with chopped chives and parsley added to it",1,
72,"Step 1: In the meantime, cook pasta according to package instructions. Drain, reserving about a cup (150 grams) of pasta water.
Step 2: Heat a generous amount of olive oil in a pan over medium low. Add onion and crushed garlic cloves and sauté until the onions are soft and translucent. Add tomato paste and sauté on low for approx. 10 min.
Step 3: Whisk together the crème fraîche with half a cup of pasta water to loosen it up. Add to the frying pan over low heat and stir together, adding extra pasta water if needed until the sauce has a glossy consistency. Season with salt and pepper to taste. Before serving, add a handful of grated Parmesan to the sauce, then combine with the pasta and serve with plenty of basil leaves and more grated Parmesan on top.
",A person is stirring a sauce in a frying pan with a wooden spoon,0,
20,"Step 1: Add vegetable broth, vinegar, onions, mustard, salt, pepper, and sugar to a saucepan. Whisk until well combined, and bring to a boil. Let cool and pour over the potato slices. Let set for approx. 10 min.
Step 2: Add eggs to a pot of water and bring to a boil. Reduce heat to medium and cook for approx. 8 – 10 min. Drain and let cool. Peel and dice cooled eggs.
Step 3: Add eggs, cucumbers, parsley, and dill to the potato salad. Mix until well combined and gently fold in mayonnaise. Mix well once more before serving. Enjoy cold or at room temperature!
","a bowl of potato salad with eggs, cucumbers, parsley, and dill in it",2,
35,"Step 1: Mix remaining eggs and sugar in a stand mixer until well combined. Add mascarpone and whipping cream. Add lemon zest. Juice lemons and add some of the juice.
Step 2: Preheat oven to 200°C/400°F. Carefully place a sheet of parchment paper on the crust and fill with pie weights. Blind bake the crust for 20 – 25 min. Transfer out of oven, remove pie weights, and set aside to cool. Reduce oven temperature to 180°C/350°F.
Step 3: Add filling to crust and bake in a preheated oven at 180°C/350°F for approx. 30 – 35 min. until just set. Remove from oven and let cool.
",A person is putting filling into a pie crust and then baking it in a preheated oven at 180°C/350°F for about 30-35 minutes until it is just set,1,
