Id,Input,Prompt,Rating
122,"Step 1: Cook the Elbow Macaroni according to the package instruction.
Step 2: Inside a cup, mix together the Mayonnaise, and Curry Powder.
",a cup of mayonnaise and curry powder is being mixed together inside a cup,
163,"Step 1: A wide pan or wok is on the stove with vegetable oil in it, and it's heating up. The next step is to add garlic, bell pepper, string beans, green cabbage, red bird's eye chili pepper, cooking wine, and canned boneless, skinless salmon
Step 2: Here is where you now add the White Rice along with the Dark Soy Sauce and stir. The heat should still be on medium-high.
Step 3: Top with the Scallion. Try to maintain a high heat and don’t cover the pot/pan and any time. As soon as the rice heats though, the salmon fried rice is done and ready to
","In the image, there is a bowl of salmon fried rice on a table. The bowl has white rice, dark soy sauce, scallions, and salmon in it.",
20,"Step 1: Blanch Bone-In, Skin-On Chicken Leg in salted water, discard water, cover the leg with Chicken Stock. Season with Kosher Salt, Fresh Ginger, Garlic, Togarashi Chili and Furikake. Simmer for 45 minutes to 1 hour.
Step 2: about halfway through the cooking process, 20 to 30 minutes, add Coconut Milk and Thai® Sweet Chili Sauce to the soup.
",A bowl of soup with chicken in it is being cooked on a stove,
76,"Step 1: In a fry pan, add Vegetable Oil, Garlic, Fresh Ginger and Ground Pork. Fry until meat is browned.
Step 2: Add Soy Sauce, Oyster Sauce and Lime Juice. Stir to combine.
Step 3: Add Water Chestnuts and Scallion. Fry for another 2 minutes.
","a frying pan with vegetable oil, garlic, ginger, ground pork, soy sauce, oyster sauce, lime juice, water chestnuts, and scallions",
77,"Step 1: Cook the Elbow Macaroni according to the package instruction.
",the elbow macaroni is cooking in a pot on the stove,
69,"Step 1: Finely chop garlic. Peel and dice onion and carrots.
",the person is chopping onions and carrots on a cutting board,
98,"Step 1: a wooden cutting board with ingredients for a salad including avocado, crab meat, and grapes
Step 2: Dress all ingredients except the arugula with one fourth cup dressing, dress the arugula seperately with two tablespoon dressing.
Step 3: Plate the arugula first. Combine the rest of the ingredients, and add on top.
","A plate of salad with avocado, crab meat, and grapes on top",
194,"Step 1: Chop Mushroom.
Step 2: Sauté the mushrooms, Garlic, and Onion in Oil for a couple of seconds until softened.
Step 3: Add Chicken Stock, Bay Leaf, Fresh Rosemary, and Salt and Pepper into the pot and simmer over medium high heat for 10 minutes.
",A person is cooking mushrooms in a pot on a stove,
143,"Step 1: Add Water, Fresh Ginger, and Chicken Bouillon Powder. Stir and mix well.
Step 2: Simmer for 10 minutes.
Step 3: Add Fish Fillet, Tomato, Evaporated Milk, and Choy Sum. Mix well.
","a bowl of soup with chicken, tomatoes, and fish in it",
175,"Step 1: Chop cilantro. Peel cucumber, halve lengthwise, scoop out seeds with a spoon, and cut into slices. Peel red onion, cut in half, and thinly slice. Peel and finely chop garlic cloves. Finely slice or cut chili pepper with scissors or knife. Set aside.
Step 2: Peel and devein shrimp, add to a frying pan, and sauté in vegetable oil over medium-high heat with salt and pepper. Cook for approx. 2 – 4 min., until shrimp turn pink, then remove from heat and set aside.
",A person is cooking shrimp in a frying pan with vegetable oil over medium-high heat,
188,"Step 1: Preheat oven to 200°C/390°F. Halve, deseed, and roughly cut the Hokkaido pumpkin. Transfer to a baking sheet and bake in the oven for approx. 30 min., or until softened.
Step 2: Remove baked pumpkin from the oven and transfer to a bowl to cool down. Blend into a smooth pumpkin puree and measure out 200g/7 oz. Set this aside.
Step 3: Reduce oven temperature to 175°C/350°F. Chop walnuts and set aside. Add flour, ground cinnamon, nutmeg, cloves, cardamom, baking powder, baking soda, and salt to a bowl and stir to combine.
",A woman is chopping walnuts on a wooden cutting board with a knife,
179,"Step 1: Place the Garlic in a bowl with the Salt and Ground Black Pepper, mash or grate with two forks.
","a bowl of garlic, salt, and ground black pepper is being mashed or grated with two forks",
132,"Step 1: A woman is stirring a bowl of cranberries, almonds, peanuts, coconut flakes, oats, puffed wheat, and lime juice
Step 2: Transfer breakfast bar mixture to a parchment-lined baking dish and smooth top with a spatula. Place in preheated oven and bake at 130°C/270°F for approx. 45 – 50 min. until golden. Remove from oven and let cool for approx. 10 min.
Step 3: Cut breakfast bars into rectangular pieces.
",A woman is cutting a piece of a breakfast bar on a wooden cutting board with a knife,
95,"Step 1: Core and chop the Apple. Put half of the organic apples in a food processor with the Dates, Ground Flaxseed, Salt, Ground Cinnamon, and Vanilla Powder. Process until well blended.
Step 2: Add rest of organic apples to the mixture. Add Raisins, and mix well. Place into dessert dishes, and sprinkle with Ground Cinnamon, chopped Walnut, and Unsweetened Shredded Coconut.
Step 3: Serve, and
",a bowl of apple cobbler with a spoon in it,
23,"Step 1: In a large bowl place in Cheerios®, Unsalted Peanuts and Raisins. Combine the ingredients and set aside.
Step 2: In a saucepan over medium heat, add Honey, Brown Sugar and Creamy Peanut Butter. Keep stiring for 2-3 minutes but do not let it burn. Turn heat off.
Step 3: Pour the honey mixture over the cheerio mix and stir through really well. Place into a square cake tin lined with baking paper.
","In a saucepan over medium heat, add Honey, Brown Sugar and Creamy Peanut Butter. Keep stiring for 2-3 minutes but do not let it burn. Turn heat off.",
46,"Step 1: A person is adding chicken breasts to a large saucepan that has already been filled with other ingredients such as lemongrass, chili, garlic, ginger, chicken stock, coconut milk, sesame oil, and soy sauce
Step 2: Trim ends of bok choy, then halve. Heat sesame oil in large frying pan over medium-high heat. Sear bok choy for approx. 4 min. Add soy sauce and a ladle of poaching liquid from saucepan and let stew.
Step 3: Right before serving, foam sauce with a hand blender. Serve chicken breasts with rice, bok choy, and sauce. Garnish with cilantro.
","A person is cooking chicken breasts in a large frying pan over medium-high heat. They are adding soy sauce and a ladle of poaching liquid from a saucepan to the chicken breasts. They are then going to serve the chicken breasts with rice, bok choy, and a foam sauce.",
12,"Step 1: Thinly slice endive. Roughly chop parsley. Cut celery crosswise into half-moons.
Step 2: In a large saucepan, cook the lobster in salted boiling water for approx. 7 – 9 min. When the lobster is finished, it will separate from the shell. Dice into medium sized pieces.
Step 3: In a large bowl, beat together egg yolk and half of the mustard. Slowly add a steady stream of oil while whisking constantly until a mayonnaise-like consistency is formed.
","In a large saucepan, cook the lobster in salted boiling water for approx. 7 – 9 min. When the lobster is finished, it will separate from the shell. Dice into medium sized pieces. In a large bowl, beat together egg yolk and half of the mustard. Slowly add a steady strea",
22,"Step 1: Bring a pot of water to boil. Salt generously and cook Egg Noodles according to package directions. Before you drain, reserve 1 cup of the pasta water.
Step 2: In a wide frying pan melt Butter. Once melted, add the Ground Black Pepper and about 1/2 cup of the pasta water (reserve the other half).
Step 3: Once the pasta water is boiling, slowly add the Pecorino Romano Cheese and Parmesan Cheese, stirring continuously until it’s all mixed in. Add a bit more pasta water if the mixture seems too dry - you want the noodles to be coated in the sauce without too much clumping or extra liquid.
","In a wide frying pan, melt butter and add ground black pepper and 1/2 cup of pasta water. Once the pasta water is boiling, slowly add the Pecorino Romano Cheese and Parmesan Cheese, stirring continuously until it's all mixed in. Add a bit more pasta water if th",
82,"Step 1: In the image, a person is putting meat balls into a pot of boiling water using a spoon.
Step 2: The egg white will cause a white foam to appear on the surface. Remove with a skimmer.
Step 3: Now add radish and glass noodles and bring to a boil. Then, simmer for approx. 4 - 5 min. Season with sesame oil and salt. Top with freshly chopped cilantro to serve.
",A person is adding radish and glass noodles to a pot of boiling water,
100,"Step 1: Heat a medium saucepan over medium heat and add Olive Oil. Swirl pan till oil coats the bottom.
Step 2: Once the oil is hot but not sizzling, gently crack the Egg into the pan.
Step 3: Cook until white is set and yolk is slightly runny, approximately 4-5 minutes.
",A person is cooking an egg in a pan on a stove top,
118,"Step 1: In the image, a person is cooking chili in a large pot. They are using a spoon to drain some of the oil out of the pot and then return the meat to the pot. The person then adds salsa and chili seasoning to the pot and simmers it for about 15 minutes until the meat is nearly fully cooked
Step 2: Drain the Canned Red Kidney Beans and add them to the pot. Simmer the chili for 10 more minutes without the lid on.
Step 3: Serve chili in bowls. Top with Cheddar Cheese and Sour Cream.
","In the image, a person is serving chili in bowls. They top the chili with Cheddar Cheese and Sour Cream.",
90,"Step 1: A large, non-stick frying pan with mushrooms, garlic, and thyme being cooked in it
Step 2: Stir in the Full-Fat Coconut Milk and season with Salt and Ground Black Pepper, then simmer for 2 minutes.
Step 3: Remove the mushrooms from the heat and serve on the Bread.
",a bowl of mushrooms and bread on a table,
48,"Step 1: Add Apple Juice, Low-Fat Strawberry Greek Yogurt, Pineapple, a peeled Orange, and Fresh Strawberry to the blender.
Step 2: Add Ice and secure lid.
Step 3: Blend until smooth.
","a blender with a lid on top is being used to blend ice, strawberries, and pineapple",
93,"Step 1: Add Rice Milk and Coconut Water in the jar.
Step 2: Add Fresh Papaya, Mango, Fresh Cilantro, Dates, and Ice into the jug.
","a white bowl filled with fresh papaya, mango, cilantro, dates, and ice",
198,"Step 1: Chop the Watermelon and slice the Fresh Strawberry.
",the watermelon and strawberry are being chopped on a cutting board,
167,"Step 1: A person is whisking eggs, vegetable stock, unsweetened soy milk, light soy sauce, and sesame oil into a large measuring jar
Step 2: Steam it for about 20 minutes until firm to touch.
Step 3: You may garnish with some Chinese Chives and sliced large Chili Pepper. Serve this delicious savory custard with rice.
",A bowl of steaming hot savory custard is being served on a white plate with chili pepper and chives garnishing it,
96,"Step 1: Cut onion into thin strips.
Step 2: Preheat oven to 220°C/420°F. Next, on a work surface sprinkled with flour, roll out pizza dough until flat.
Step 3: In a grease-free frying pan, toast pine nuts over medium-low heat, stirring often, for approx. 2 - 3 min. until golden brown and fragrant.
","In a grease-free frying pan, toast pine nuts over medium-low heat, stirring often, for approx. 2 - 3 min. until golden brown and fragrant",
176,"Step 1: Take a saucepan over medium heat with Vegetable Oil, and Yellow Onion, Garlic into it and stir for 2 to 3 minutes. Then add some Curry Paste and stir it through for about a minute. Then add Ground Beef, Potato, mix it up and cook for 8 to 10 minutes. Once is finished, set aside for 30 minutes to cool off.
Step 2: Take Puff Pastry and use a large cookie cutter to cut pastry circles. Take a circle and wet the edge using water. Put 1 teaspoonful of mixture in the center, fold in half and pinch the edge together. Continue with the rest.
Step 3: Put some vegetable oil in a wok, heat up the oil to 170 degree C (340 degrees F). Put the curry puffs into the oil and let it fried for 3 to 4 minutes. Transfer them to a tray lined up with some kitchen paper to get rid of the excess oil.
","In the image, a person is cooking curry puffs in a wok. They are using a large cookie cutter to cut circles out of puff pastry and then wetting the edges with water before filling them with a teaspoonful of mixture and folding them in half before pinching the edges together.",
